# Table S2. List of the probable timing errors,,,,,,,,,,
# Station code,Pair ID,CC,dt residual (s),dt measurement (s),Correction for instrument change (s),Prediction from relative relocation (s),"""Timing quality"" of the earlier event","""Timing quality"" of the later event","""GSN timing"" of the earlier event","""GSN timing"" of the later event"
AU.STKA,2005244_2006075,0.934,-2.0027,-4.792,0,-2.7893,N/A,N/A,N/A,N/A
AU.STKA,2006075_2008065,0.907,1.9988,1.446,0,-0.5528,N/A,N/A,N/A,N/A
AU.STKA,2006075_2012315,0.992,1.9946,-2.425,0,-4.4196,N/A,N/A,N/A,N/A
AU.STKA,2006130_2007106,0.942,1.9949,6.150,0,4.1551,N/A,N/A,N/A,N/A
AU.STKA,2006153_2012270,0.924,2.0054,5.454,0,3.4486,N/A,N/A,N/A,N/A
AU.STKA,2009342_2014136,0.927,-0.1045,1.741,0,1.8455,N/A,N/A,N/A,N/A
AU.STKA,2012235_2016353,0.975,0.0368,7.201,0,7.1642,N/A,0,N/A,N/A
AU.WB9,2005031_2009066,0.945,-0.0320,-1.350,0,-1.3180,N/A,N/A,N/A,N/A
AU.WB9,2005037_2012331,0.975,-0.0310,-2.321,0,-2.2900,N/A,0,N/A,N/A
AU.WC1,2005071_2016353,0.974,0.9950,1.975,0,0.9800,N/A,0,N/A,N/A
AU.WC1,2005120_2016353,0.985,1.0010,4.098,0,3.0970,N/A,0,N/A,N/A
AU.WC1,2005289_2016199,0.954,1.0003,0.611,0,-0.3893,N/A,0,N/A,N/A
AU.WC1,2006038_2017030,0.964,2.0059,1.507,0,-0.4989,N/A,0,N/A,N/A
AU.WC1,2007110_2016206,0.988,1.0010,-5.702,0,-6.7030,N/A,0,N/A,N/A
AU.WC1,2007175_2016353,0.966,0.9990,-1.475,0,-2.4740,N/A,0,N/A,N/A
AU.WC1,2010271_2016123,0.955,0.9849,0.352,0,-0.6329,0,0,N/A,N/A
AU.WC1,2010352_2016353,0.971,0.9870,1.536,0,0.5490,0,0,N/A,N/A
AU.WC1,2011051_2015340,0.996,0.9722,3.813,0,2.8408,0,0,N/A,N/A
AU.WC1,2011141_2017050,0.926,2.0000,0.422,0,-1.5780,0,0,N/A,N/A
AU.WC1,2012157_2017017,0.991,1.9988,4.012,0,2.0132,0,0,N/A,N/A
AU.WC1,2012235_2016353,0.984,0.9890,8.154,0,7.1650,0,0,N/A,N/A
AU.WC1,2012319_2016348,0.958,0.9987,4.134,0,3.1353,0,0,N/A,N/A
AU.YNG,2011289_2015290,0.958,-7.4293,-3.738,0,3.6913,N/A,0,N/A,N/A
AV.AKGG,2008231_2017126,0.979,0.9956,1.444,0,0.4484,N/A,0,N/A,N/A
AV.AKGG,2008310_2017139,0.917,0.9863,2.564,0,1.5777,N/A,0,N/A,N/A
AV.AKRB,2008231_2017126,0.964,0.9946,1.443,0,0.4484,N/A,0,N/A,N/A
AV.AKRB,2008310_2017139,0.952,1.0023,2.580,0,1.5777,N/A,0,N/A,N/A
AV.KAKN,2008231_2017126,0.972,0.9917,1.440,0,0.4483,N/A,0,N/A,N/A
AV.KAKN,2008235_2015218,0.923,1.0000,0.417,0,-0.5830,N/A,0,N/A,N/A
AV.OKFG,2008231_2017126,0.961,0.9887,1.437,0,0.4483,N/A,0,N/A,N/A
AV.OKFG,2008310_2017139,0.957,0.9993,2.577,0,1.5777,N/A,0,N/A,N/A
AV.SPBG,2008231_2017126,0.969,0.9943,1.442,0,0.4477,N/A,0,N/A,N/A
AV.SPBG,2008310_2017139,0.948,1.0077,2.585,0,1.5773,N/A,0,N/A,N/A
AZ.BZN,1998113_2006198,0.915,0.0728,-2.456,0,-2.5288,N/A,N/A,N/A,N/A
AZ.BZN,1998113_2014256,0.938,0.0709,2.001,0,1.9301,N/A,N/A,N/A,N/A
AZ.BZN,1999232_2011194,0.923,0.0387,1.808,0,1.7693,N/A,N/A,N/A,N/A
AZ.CRY,1995180_2011109,0.967,0.2191,2.287,0,2.0679,N/A,N/A,N/A,N/A
AZ.CRY,2007087_2016287,0.907,0.0335,-0.577,0,-0.6105,N/A,N/A,N/A,N/A
AZ.FRD,1995180_2011109,0.960,0.2051,2.273,0,2.0679,N/A,N/A,N/A,N/A
AZ.FRD,1998113_2006198,0.946,0.0448,-2.484,0,-2.5288,N/A,N/A,N/A,N/A
AZ.FRD,1998113_2014256,0.981,0.0509,1.981,0,1.9301,N/A,N/A,N/A,N/A
AZ.FRD,1999213_2009111,0.988,-0.0308,-2.223,0,-2.1922,N/A,N/A,N/A,N/A
AZ.FRD,2000029_2014195,0.912,0.0421,0.033,0,-0.0091,N/A,N/A,N/A,N/A
AZ.FRD,2001127_2013064,0.946,0.0320,-1.022,0,-1.0540,N/A,N/A,N/A,N/A
AZ.FRD,2004252_2012324,0.927,0.0350,1.094,0,1.0591,N/A,N/A,N/A,N/A
AZ.FRD,2010078_2015198,0.946,0.0314,-2.766,0,-2.7974,N/A,N/A,N/A,N/A
AZ.KNW,1995180_2011109,0.990,0.2251,2.293,0,2.0679,N/A,N/A,N/A,N/A
AZ.KNW,2000210_2008136,0.941,-0.0320,-1.898,0,-1.8660,N/A,N/A,N/A,N/A
AZ.KNW,2000210_2016348,0.934,-0.0342,5.053,0,5.0872,N/A,N/A,N/A,N/A
AZ.KNW,2004252_2012324,0.902,0.0389,1.098,0,1.0591,N/A,N/A,N/A,N/A
AZ.KNW,2005183_2008218,0.905,0.0383,0.134,0,0.0957,N/A,N/A,N/A,N/A
AZ.KNW,2012319_2016348,0.941,-0.0340,3.102,0,3.1360,N/A,N/A,N/A,N/A
AZ.LVA2,1998113_2014256,0.906,0.0509,1.981,0,1.9301,N/A,N/A,N/A,N/A
AZ.LVA2,2000329_2009192,0.932,-0.0351,-1.045,0,-1.0099,N/A,N/A,N/A,N/A
AZ.LVA2,2009104_2015179,0.924,0.0365,-0.611,0,-0.6475,N/A,N/A,N/A,N/A
AZ.PFO,1995020_2010249,0.941,2.9689,1.647,0,-1.3219,N/A,N/A,N/A,N/A
AZ.PFO,2000286_2011315,0.967,0.0397,1.637,0,1.5974,N/A,N/A,N/A,N/A
AZ.RDM,1995180_2011109,0.980,0.2121,2.280,0,2.0679,N/A,N/A,N/A,N/A
AZ.RDM,1997101_2011125,0.978,-0.0305,1.545,0,1.5755,N/A,N/A,N/A,N/A
AZ.RDM,1997117_2006347a,0.949,-0.0309,1.461,0,1.4919,N/A,N/A,N/A,N/A
AZ.RDM,2004247_2009065,0.944,-0.0329,0.987,0,1.0199,N/A,N/A,N/A,N/A
AZ.RDM,2005120_2012235,0.920,0.0404,-4.026,0,-4.0664,N/A,N/A,N/A,N/A
AZ.RDM,2005120_2016353,0.902,0.0511,3.143,0,3.0919,N/A,N/A,N/A,N/A
AZ.RDM,2006198_2014256,0.931,0.0364,4.488,0,4.4516,N/A,N/A,N/A,N/A
AZ.RDM,2006259_2010273,0.910,0.0308,-0.280,0,-0.3108,N/A,N/A,N/A,N/A
AZ.RDM,2007087_2016287,0.941,0.0345,-0.576,0,-0.6105,N/A,N/A,N/A,N/A
AZ.SND,1995180_2011109,0.938,0.2261,2.294,0,2.0679,N/A,N/A,N/A,N/A
AZ.SND,2000278_2008132,0.921,-0.0354,-2.087,0,-2.0517,N/A,N/A,N/A,N/A
AZ.SND,2000329_2009192,0.930,-0.0331,-1.043,0,-1.0099,N/A,N/A,N/A,N/A
AZ.TRO,2002187_2012317,0.902,-0.0314,2.164,0,2.1954,N/A,N/A,N/A,N/A
AZ.TRO,2005120_2012235,0.906,0.0434,-4.023,0,-4.0664,N/A,N/A,N/A,N/A
AZ.TRO,2008067_2016209,0.919,0.0340,0.038,0,0.0040,N/A,N/A,N/A,N/A
AZ.WMC,1995180_2011109,0.979,0.2251,2.293,0,2.0679,N/A,N/A,N/A,N/A
AZ.WMC,2000329_2009192,0.957,-0.0361,-1.046,0,-1.0099,N/A,N/A,N/A,N/A
AZ.WMC,2009192_2012169,0.956,0.0305,3.523,0,3.4925,N/A,N/A,N/A,N/A
BK.CMB,1994304_2000278,0.967,-0.0432,-0.262,0,-0.2188,N/A,84.5607,N/A,N/A
BK.CMB,2000278_2008132,0.935,0.0375,-2.015,0,-2.0525,84.5607,89.0302,N/A,N/A
BK.CMB,2002276_2010316,0.917,0.0306,-1.645,0,-1.6756,89.5643,88.6697,N/A,N/A
