# Table S2. List of the probable timing errors,,,,,,,,,,
# Station code,Pair ID,CC,dt residual (s),dt measurement (s),Correction for instrument change (s),Prediction from relative relocation (s),"""Timing quality"" of the earlier event","""Timing quality"" of the later event","""GSN timing"" of the earlier event","""GSN timing"" of the later event"
IC.BJT,2008129_2010352,0.912,0.1240,-2.048,0,-2.1720,99.7465,90.1414,100,85
IC.BJT,2008129_2011080,0.900,0.1151,-0.583,0,-0.6981,99.7465,90.1331,100,85
IC.BJT,2008129_2011148,0.926,0.1184,-0.660,0,-0.7784,99.7465,90.1258,100,85
IC.BJT,2008129_2016353,0.930,0.1076,-1.534,0,-1.6416,99.7465,99.9585,100,90
IC.BJT,2008152_2011122,0.940,0.1006,-0.466,0,-0.5666,85.5807,90.1331,60,85
IC.BJT,2008152_2011354,0.934,0.1037,-2.768,0,-2.8717,85.5807,90.1367,60,85
IC.BJT,2008152_2014016,0.946,0.0894,-1.251,0,-1.3404,85.5807,99.9436,60,80
IC.BJT,2008235_2015218,0.969,0.0578,-0.519,0,-0.5768,99.637,99.8574,100,80
IC.BJT,2009054_2016245,0.992,0.1088,-0.752,0,-0.8608,99.6753,99.8416,100,80
IC.BJT,2009240_2010352,0.941,0.1212,-0.216,0,-0.3372,99.7268,90.1414,100,85
IC.BJT,2009240_2016353,0.950,0.1035,0.303,0,0.1995,99.7268,99.9585,100,90
IC.BJT,2009247_2017312,0.942,0.0929,2.021,0,1.9281,99.6993,99.9195,100,80
IC.BJT,2010352_2016353,0.983,-0.0446,0.516,0,0.5606,90.1414,99.9585,85,90
IC.ENH,1997320_2012172,0.941,-0.0337,-2.764,-0.003,-2.7273,99.6364,89.985,N/A,N/A
IC.ENH,1997327_2000156,0.950,-0.0372,-0.111,-0.003,-0.0708,99.6317,99.596,N/A,N/A
IC.ENH,2007174_2014053,0.926,-0.0364,3.659,0,3.6954,99.5816,99.9724,100,80
IC.ENH,2007330_2014168,0.993,0.0432,-0.094,0,-0.1372,99.5772,99.879,100,80
IC.HIA,1996177_2011122,0.991,0.0895,-1.085,-0.009,-1.1655,N/A,20,N/A,N/A
IC.HIA,1997101_2011125,0.944,0.0971,1.659,-0.009,1.5709,99.5671,20,N/A,N/A
IC.HIA,1998301_2010328,0.962,0.0488,-1.718,-0.009,-1.7578,99.5754,18,N/A,N/A
IC.HIA,1999275_2010199,0.977,0.0437,0.471,0,0.4273,59.6589,97.4502,40,100
IC.HIA,2000157_2006075,0.944,0.0341,0.294,0,0.2599,60.8565,99.4515,60,40
IC.HIA,2000236_2012306,0.943,0.0305,3.560,0,3.5295,17.8913,89.665,15,85
IC.HIA,2001127_2007220,0.951,0.0307,-0.489,0,-0.5197,59.7009,99.2165,40,40
IC.HIA,2002101_2011122,0.985,0.1023,-2.124,0,-2.2263,60.8974,20,60,20
IC.HIA,2002275_2013284,0.971,0.0305,-2.227,0,-2.2575,61.6064,99.8912,40,80
IC.HIA,2003183_2008055,0.971,0.0300,2.239,0,2.2090,59.7996,98.4289,60,40
IC.HIA,2007330_2014168,0.932,0.0423,-0.102,0,-0.1443,98.9407,99.9354,40,80
IC.HIA,2007358_2011062a,0.912,0.0538,1.267,0,1.2132,98.9362,20,40,20
IC.HIA,2008129_2011080,0.963,0.0757,-0.621,0,-0.6967,99.2133,20,40,20
IC.HIA,2008152_2011122,0.987,0.0696,-0.499,0,-0.5686,99.4526,20,40,20
IC.HIA,2011080_2011148,0.977,-0.0831,-0.161,0,-0.0779,20,89.1787,20,25
IC.HIA,2011119_2011205,0.971,-0.0667,0.102,0,0.1687,20,89.0212,20,25
IC.HIA,2011122_2011354,0.982,-0.0728,-2.374,0,-2.3012,20,89.8171,20,85
IC.HIA,2011122_2014016,0.986,-0.0740,-0.850,0,-0.7760,20,99.9201,20,80
IC.HIA,2012023_2014039,0.944,-0.0401,1.533,0,1.5731,20,99.8464,20,80
IC.KMI,1998143_2015145,0.953,0.0323,-3.801,-0.009,-3.8243,99.5781,99.8071,N/A,N/A
IC.KMI,2007330_2014168,0.977,0.0496,-0.089,0,-0.1386,95.9158,99.8771,40,80
IC.LSA,2007330_2014168,0.979,0.0624,-0.088,0,-0.1504,99.5807,99.8789,100,80
IC.LSA,2008006_2013234,0.974,0.0471,-4.125,0,-4.1721,99.4864,99.8942,100,80
IC.MDJ,2006325_2013039,0.977,0.1801,-6.700,0,-6.8801,15.9318,90.0293,16,25
IC.QIZ,2003183_2008055,0.910,0.0343,2.227,-0.013,2.2057,99.7636,97.0939,100,100
IC.QIZ,2004365_2005029,0.987,0.0375,-0.026,-0.013,-0.0505,99.7828,96.957,100,100
IC.QIZ,2004365_2005277,0.990,0.0310,-2.219,-0.013,-2.2370,99.7828,96.4826,100,100
IC.QIZ,2005116_2005225,0.955,0.0314,-1.321,-0.013,-1.3394,90.453,97.6694,100,100
IC.QIZ,2005116_2011051,0.936,0.0316,-2.483,-0.013,-2.5016,90.453,86.2901,100,85
IC.QIZ,2005129_2012232,0.913,0.0379,-1.502,-0.013,-1.5269,99.7712,86.447,100,85
IC.QIZ,2005183_2008218,0.954,0.0535,0.126,-0.013,0.0855,99.7658,97.4289,100,100
IC.QIZ,2005225_2011051,0.952,0.0324,-1.147,-0.013,-1.1664,99.7706,86.2901,100,85
IC.QIZ,2006001_2008134,0.962,0.0356,1.824,-0.013,1.8014,75.2101,97.3287,45,100
IC.QIZ,2006057_2008005,0.940,0.0436,-2.553,-0.013,-2.5836,99.7669,96.5343,100,100
IC.QIZ,2006259_2010273,0.922,0.0378,-0.287,-0.013,-0.3118,99.7773,97.1622,100,85
IC.QIZ,2007175_2008129,0.943,0.0410,-0.819,-0.013,-0.8470,99.7576,98.0671,100,100
IC.QIZ,2007175_2009240,0.961,0.0345,-2.650,-0.013,-2.6715,99.7576,96.5672,100,100
IC.QIZ,2008005_2012157,0.983,0.0305,0.158,-0.013,0.1405,99.7785,86.3305,100,85
IC.QIZ,2008129_2009240,0.960,0.0328,-1.813,-0.013,-1.8328,99.7633,96.5672,100,100
IC.QIZ,2009206_2012223,0.952,0.0368,3.970,-0.013,3.9462,99.7758,86.307,100,85
IC.WMQ,2001047_2008292,0.960,1.1291,-5.554,0,-6.6831,99.4503,15.9336,40,16
IC.WMQ,2008006_2013234,0.918,0.0449,-4.125,0,-4.1699,99.5825,99.8903,100,80
IC.XAN,1993044_2015113,0.989,0.1088,-1.049,0.009,-1.1668,N/A,99.8264,N/A,N/A
IC.XAN,1993046_1998134,0.989,0.1199,0.913,0.018,0.7751,N/A,99.5754,N/A,N/A
IC.XAN,2000217_2011175a,0.950,0.0315,-1.935,0,-1.9665,99.5833,90.0186,100,85
IC.XAN,2000278_2006013,0.955,-0.0397,2.141,0,2.1807,99.5736,77.9575,100,60
IC.XAN,2007330_2014168,0.993,0.0402,-0.099,0,-0.1392,99.5727,99.8713,100,80
IC.XAN,2010352_2016353,0.944,-0.0303,0.530,0,0.5603,90.1462,99.8613,85,80
II.AAK,1991245_2004254,0.990,-0.9606,-1.308,0,-0.3474,N/A,N/A,100,100
II.AAK,1995001_1996177,0.988,0.3837,0.557,0,0.1733,N/A,N/A,100,100
II.AAK,1995001_2011122,0.993,0.3781,-0.602,0,-0.9801,N/A,N/A,100,100
II.AAK,1995001_2014016,0.986,0.3813,-1.372,0,-1.7533,N/A,N/A,100,100
II.AAK,1995005_2009174,0.936,0.8935,-0.836,0,-1.7295,N/A,N/A,100,100
II.AAK,1995114_2003075,0.990,1.0321,1.559,0,0.5269,N/A,N/A,100,100
II.AAK,1995180_2011109,0.993,0.9814,3.061,0,2.0797,N/A,N/A,100,100
II.AAK,1996065_2005249,0.979,-0.9682,-2.378,0,-1.4098,N/A,N/A,100,100
II.AAK,1996163_2000168,0.936,0.0310,0.083,0,0.0520,N/A,N/A,100,100
II.AAK,1996361_2010306,0.981,-0.0340,6.179,0,6.2130,N/A,N/A,100,100
II.AAK,1997018_2004315,0.984,-0.9842,-3.076,0,-2.0918,N/A,N/A,100,100
II.AAK,1997117_2006347a,0.974,-0.9949,0.478,0,1.4730,N/A,N/A,100,100
II.AAK,1997245_2007016,0.972,-0.9689,0.242,0,1.2109,N/A,N/A,100,100
II.AAK,1997327_2000156,0.909,0.0602,-0.030,0,-0.0902,N/A,N/A,10,100
II.AAK,1998281_2004283,0.927,-0.9840,-5.729,0,-4.7450,N/A,N/A,100,100
II.AAK,1999115_2008067,0.996,0.0910,2.154,0,2.0630,N/A,N/A,90,100
II.AAK,1999115_2016209,0.989,0.1013,2.166,0,2.0647,N/A,100,90,100
II.AAK,1999150_2006214,0.992,-0.9992,-0.014,0,0.9852,N/A,N/A,100,100
II.AAK,1999213_2009111,0.977,-0.0678,-2.289,0,-2.2212,N/A,N/A,100,100
II.AAK,2000157_2006075,0.965,-1.0023,-0.743,0,0.2593,N/A,N/A,100,100
II.AAK,2000166_2012144,0.997,-0.0869,-2.147,0,-2.0601,N/A,N/A,100,100
II.AAK,2000166_2015347,0.999,-0.0714,-4.933,0,-4.8616,N/A,99.5706,100,80
II.AAK,2000242_2005124,0.994,-0.9990,-3.443,0,-2.4440,N/A,N/A,100,100
II.AAK,2000338_2013111,0.992,-0.0317,-1.203,0,-1.1713,N/A,N/A,100,100
II.AAK,2001007_2009212,0.986,-0.0356,1.460,0,1.4956,N/A,N/A,100,100
II.AAK,2001047_2008292,0.985,-0.0310,-6.714,0,-6.6830,N/A,N/A,100,100
II.AAK,2001064_2006203,0.953,-0.9919,0.168,0,1.1599,N/A,N/A,100,100
II.AAK,2001064_2006321,0.971,-1.0137,0.438,0,1.4517,N/A,N/A,100,100
II.AAK,2001111_2008006,0.972,-0.0403,4.812,0,4.8524,N/A,N/A,100,100
II.AAK,2001147_2006137,0.973,-1.0073,5.325,0,6.3323,N/A,N/A,100,100
II.AAK,2001299_2014164,0.974,-0.0324,-3.917,0,-3.8846,N/A,N/A,100,100
II.AAK,2002006_2011260,0.993,-0.0301,-4.007,0,-3.9769,N/A,N/A,100,100
II.AAK,2002013_2008173,0.979,-0.0340,-5.552,0,-5.5180,N/A,N/A,100,100
II.AAK,2003137_2011141,0.984,-0.0323,-0.142,0,-0.1097,N/A,N/A,100,100
II.AAK,2004140_2013027,0.983,-0.0310,0.023,0,0.0540,N/A,N/A,100,100
II.AAK,2004251_2011019,0.977,0.9760,4.122,0,3.1460,N/A,N/A,100,100
II.AAK,2004252_2012324,0.985,0.9821,2.049,0,1.0669,N/A,N/A,100,100
II.AAK,2004254_2010014,0.990,0.9693,0.230,0,-0.7393,N/A,N/A,100,100
II.AAK,2004283_2009304,0.963,0.9696,1.246,0,0.2764,N/A,N/A,100,100
II.AAK,2004283_2015197,0.943,0.9660,4.968,0,4.0020,N/A,99.7015,100,80
II.AAK,2004283_2017341,0.982,0.9974,2.503,0,1.5056,N/A,100,100,100
II.AAK,2004361_2008065,0.984,0.9660,-2.062,0,-3.0280,N/A,N/A,100,100
II.AAK,2004361_2010272,0.985,0.9699,-1.695,0,-2.6649,N/A,N/A,100,100
II.AAK,2004364_2011022,0.981,0.9681,-0.654,0,-1.6221,N/A,N/A,100,100
II.AAK,2004366_2010272,0.995,0.9683,-4.717,0,-5.6853,N/A,N/A,100,100
II.AAK,2004366_2010273,0.985,0.9673,0.264,0,-0.7033,N/A,N/A,100,100
II.AAK,2004366_2015203,0.977,0.9820,3.591,0,2.6090,N/A,99.7671,100,80
II.AAK,2005005_2012157,0.999,0.9697,-1.993,0,-2.9627,N/A,N/A,100,100
II.AAK,2005007_2011200,0.900,0.9783,-0.318,0,-1.2963,N/A,N/A,100,100
II.AAK,2005031_2009066,0.990,0.9699,-0.348,0,-1.3179,N/A,N/A,100,100
II.AAK,2005037_2008218,0.985,0.9644,0.658,0,-0.3064,N/A,N/A,100,100
II.AAK,2005037_2012331,0.993,0.9687,-1.322,0,-2.2907,N/A,N/A,100,100
II.AAK,2005037_2015163,0.982,0.9719,-1.542,0,-2.5139,N/A,99.7324,100,80
II.AAK,2005044_2010273,0.988,0.9730,0.211,0,-0.7620,N/A,N/A,100,100
II.AAK,2005044_2015203,0.980,0.9861,3.537,0,2.5509,N/A,99.7671,100,80
II.AAK,2005071_2008129,0.997,0.9686,3.579,0,2.6104,N/A,N/A,100,100
II.AAK,2005071_2009240,0.997,0.9695,1.753,0,0.7835,N/A,N/A,100,100
II.AAK,2005071_2010352,0.997,0.9701,1.413,0,0.4429,N/A,N/A,100,100
II.AAK,2005071_2014216,0.996,0.9822,1.244,0,0.2618,N/A,N/A,100,100
II.AAK,2005071_2016353,0.997,0.9808,1.951,0,0.9702,N/A,100,100,100
II.AAK,2005116_2011051,0.984,0.9721,-1.527,0,-2.4991,N/A,N/A,100,100
II.AAK,2005129_2010272,0.998,0.9690,-1.831,0,-2.8000,N/A,N/A,100,100
II.AAK,2005129_2012232,0.995,0.9660,-0.557,0,-1.5230,N/A,N/A,100,100
II.AAK,2005129_2015189,0.989,0.9662,-0.678,0,-1.6442,N/A,99.7452,100,80
II.AAK,2005171_2013307,0.923,0.9628,2.462,0,1.4992,N/A,N/A,100,100
II.AAK,2005183_2008218,0.983,0.9659,1.049,0,0.0831,N/A,N/A,100,100
II.AAK,2005183_2015163,0.975,0.9770,-1.149,0,-2.1260,N/A,99.7324,100,80
II.AAK,2005204_2010273,0.994,0.9680,0.303,0,-0.6650,N/A,N/A,100,100
II.AAK,2005204_2015203,0.987,0.9758,3.629,0,2.6532,N/A,99.7671,100,80
II.AAK,2005225_2011051,0.991,0.9691,-0.197,0,-1.1661,N/A,N/A,100,100
II.AAK,2005244_2010272,0.982,0.9733,-1.996,0,-2.9693,N/A,N/A,100,100
II.AAK,2005244_2015189,0.992,0.9695,-0.842,0,-1.8115,N/A,99.7452,100,80
II.AAK,2005289_2016199,0.981,0.9839,0.544,0,-0.4399,N/A,100,100,100
II.AAK,2005316_2009206,0.994,0.9665,-0.127,0,-1.0936,N/A,N/A,100,100
II.AAK,2006001_2008134,0.995,0.9653,2.770,0,1.8047,N/A,N/A,100,100
II.AAK,2006057_2008005,0.992,0.9622,-1.617,0,-2.5792,N/A,N/A,100,100
II.AAK,2006075_2008065,0.986,0.9723,0.430,0,-0.5423,N/A,N/A,100,100
II.AAK,2006075_2012315,0.974,0.9642,-3.455,0,-4.4192,N/A,N/A,100,100
II.AAK,2006075_2015189,0.991,0.9745,1.950,0,0.9755,N/A,99.7452,100,80
II.AAK,2006203_2015132,0.927,0.9690,1.718,0,0.7490,N/A,99.7148,100,80
II.AAK,2006214_2015128,0.990,0.9779,1.186,0,0.2081,N/A,99.8066,100,80
II.AAK,2006225_2008129,0.998,0.9687,0.263,0,-0.7057,N/A,N/A,100,100
II.AAK,2006225_2009240,0.999,0.9710,-1.564,0,-2.5350,N/A,N/A,100,100
II.AAK,2006225_2010352,0.999,0.9747,-1.903,0,-2.8777,N/A,N/A,100,100
II.AAK,2006225_2014216,0.997,0.9812,-2.072,0,-3.0532,N/A,N/A,100,100
II.AAK,2006225_2016353,0.999,0.9857,-1.365,0,-2.3507,N/A,100,100,100
II.AAK,2006247_2008006,0.964,0.9658,-1.921,0,-2.8868,N/A,N/A,100,100
II.AAK,2006259_2010273,0.998,0.9683,0.666,0,-0.3023,N/A,N/A,100,100
II.AAK,2006312_2008231,0.984,0.9674,0.909,0,-0.0584,N/A,N/A,100,100
II.AAK,2006321_2010028,0.965,0.9730,-0.089,0,-1.0621,N/A,N/A,100,100
II.AAK,2006321_2015132,0.951,0.9840,1.445,0,0.4610,N/A,99.7148,100,80
II.AAK,2006325_2013039,0.993,0.9819,-5.897,0,-6.8789,N/A,N/A,100,100
II.AAK,2006343_2010272,0.997,0.9691,-1.592,0,-2.5611,N/A,N/A,100,100
II.AAK,2006343_2012232,0.997,0.9680,-0.317,0,-1.2850,N/A,N/A,100,100
II.AAK,2006343_2015189,0.993,0.9724,-0.438,0,-1.4104,N/A,99.7452,100,80
II.AAK,2006347_2008063,0.987,0.9697,0.482,0,-0.4877,N/A,N/A,100,100
II.AAK,2007110_2011125,0.990,0.9671,-5.326,0,-6.2931,N/A,N/A,100,100
II.AAK,2007110_2016270,0.994,0.9763,0.584,0,-0.3923,N/A,100,100,100
II.AAK,2007115_2010025,0.976,0.9660,-4.081,0,-5.0470,N/A,N/A,100,100
II.AAK,2007174_2014053,0.967,0.9786,4.675,0,3.6964,N/A,N/A,100,100
II.AAK,2007175_2008129,0.998,0.9691,0.121,0,-0.8481,N/A,N/A,100,100
II.AAK,2007175_2009240,0.998,0.9740,-1.705,0,-2.6790,N/A,N/A,100,100
II.AAK,2007175_2010352,0.998,0.9738,-2.045,0,-3.0188,N/A,N/A,100,100
II.AAK,2007175_2016353,0.996,0.9911,-1.507,0,-2.4981,N/A,100,100,100
II.AAK,2007199_2012211,0.978,-0.1925,-3.921,0,-3.7285,N/A,N/A,10,100
II.AAK,2007330_2014168,0.977,0.0766,-0.083,0,-0.1596,N/A,N/A,100,100
II.AAK,2008006_2013234,0.981,0.0635,-4.109,0,-4.1725,N/A,N/A,100,100
II.AAK,2008019_2011238,0.975,0.0762,0.194,0,0.1178,N/A,N/A,100,100
II.ABKT,1994354_2012262,0.977,-0.9881,-2.866,0.024,-1.9019,N/A,N/A,100,100
II.ABKT,1995318_2003183,0.946,1.4755,-0.428,0.023,-1.9265,N/A,N/A,10,100
II.ABKT,1996177_2011122,0.995,-0.0389,-1.171,0.024,-1.1561,N/A,N/A,100,100
II.ABKT,1997018_2002258,0.993,0.2633,1.893,0.023,1.6067,N/A,N/A,10,100
II.ABKT,1997018_2004315,0.992,0.2498,-1.822,0.023,-2.0948,N/A,N/A,10,100
II.ABKT,1997076_2003317,0.963,0.9560,1.568,0.023,0.5890,N/A,N/A,10,100
II.ABKT,1997101_2011125,0.997,-0.0458,1.552,0.024,1.5738,N/A,N/A,100,100
II.ABKT,1999056_2013264,0.974,-1.0290,-1.628,0.001,-0.6000,N/A,N/A,100,100
II.ABKT,2000338_2013111,0.990,-1.0309,-2.199,0.001,-1.1691,N/A,N/A,100,100
II.ABKT,2001090_2010357,0.987,-0.0334,-0.338,0.001,-0.3056,N/A,N/A,100,100
II.ABKT,2001127_2013064,0.982,-1.0273,-2.078,0.001,-1.0517,N/A,N/A,100,100
II.ABKT,2001277_2011211,0.971,-0.0302,-0.441,0.001,-0.4118,N/A,N/A,100,100
II.ABKT,2002006_2011260,0.916,-0.0381,-4.013,0.001,-3.9759,N/A,N/A,100,100
II.ABKT,2002101_2011122,0.989,-0.0407,-2.260,0.001,-2.2203,N/A,N/A,100,100
II.ABKT,2002116_2009005,0.911,-0.0453,-3.053,0.002,-3.0097,N/A,N/A,100,100
II.ABKT,2002129_2011053,0.933,-0.0401,0.524,0.001,0.5631,N/A,N/A,100,100
II.ABKT,2002275_2013284,0.967,-1.0224,-3.279,0.001,-2.2576,N/A,N/A,100,100
II.ABKT,2003137_2011141,0.987,-0.0433,-0.152,0.001,-0.1097,N/A,N/A,100,100
II.ABKT,2003142_2013019,0.997,-1.0302,0.308,0.001,1.3372,N/A,N/A,100,100
II.ABKT,2004140_2013027,0.969,-1.0303,-0.975,0.001,0.0543,N/A,N/A,100,100
II.ABKT,2004315_2010199,0.995,-0.0329,3.663,0.001,3.6949,N/A,N/A,100,100
II.ABKT,2004361_2010272,0.963,-0.0352,-2.702,0.001,-2.6678,N/A,N/A,100,100
II.ABKT,2004366_2010272,0.988,-0.0342,-5.721,0.001,-5.6878,N/A,N/A,100,100
II.ABKT,2004366_2010273,0.978,-0.0344,-0.734,0.001,-0.7006,N/A,N/A,100,100
II.ABKT,2005129_2010272,0.991,-0.0365,-2.836,0.001,-2.8005,N/A,N/A,100,100
II.ABKT,2005129_2012232,0.991,-1.0371,-2.559,0.001,-1.5229,N/A,N/A,100,100
II.ABKT,2005171_2013307,0.982,-1.0253,0.476,0.001,1.5003,N/A,N/A,100,100
II.ABKT,2005204_2010273,0.990,-0.0301,-0.692,0.001,-0.6629,N/A,N/A,100,100
II.ABKT,2005225_2011051,0.992,-0.0332,-1.199,0.001,-1.1669,N/A,N/A,100,100
II.ABKT,2005244_2010272,0.927,-0.0390,-3.014,0.001,-2.9760,N/A,N/A,100,100
II.ABKT,2006075_2012315,0.981,-1.0393,-5.458,0.001,-4.4197,N/A,N/A,100,100
II.ABKT,2006137_2010204,0.949,-0.0331,0.224,0.001,0.2561,N/A,N/A,100,100
II.ABKT,2006214_2013119,0.913,-1.0001,-1.577,0.001,-0.5779,N/A,N/A,100,100
II.ABKT,2006259_2010273,0.995,-0.0352,-0.336,0,-0.3008,N/A,N/A,100,100
II.ABKT,2006343_2010272,0.966,-0.0330,-2.595,0,-2.5620,N/A,N/A,100,100
II.ABKT,2006343_2012232,0.976,-1.0310,-2.317,0,-1.2860,N/A,N/A,100,100
II.ABKT,2007110_2011125,0.920,-0.0367,-6.331,0,-6.2943,N/A,N/A,100,100
II.ABKT,2007278_2012088,0.934,-1.0307,1.828,0,2.8587,N/A,N/A,100,10
II.ABKT,2007326_2013010,0.970,-1.0327,0.601,0,1.6337,N/A,N/A,100,100
II.ABKT,2007331_2013162,0.961,-1.0330,-0.711,0,0.3220,N/A,N/A,100,100
II.ABKT,2008005_2012157,0.983,-1.0340,-0.888,0,0.1460,N/A,N/A,100,100
II.ABKT,2008006_2013234,0.985,-0.9838,-5.158,0,-4.1742,N/A,N/A,100,100
II.ABKT,2008059_2012306,0.923,-1.0391,-1.091,0,-0.0519,N/A,N/A,100,100
II.ABKT,2008065_2010272,0.985,-0.0353,0.327,0,0.3623,N/A,N/A,100,100
II.ABKT,2008065_2012232,0.993,-1.0338,0.603,0,1.6368,N/A,N/A,100,100
II.ABKT,2008122_2011056,0.911,-0.0339,0.477,0,0.5109,N/A,N/A,100,100
II.ABKT,2008124_2013044,0.992,-1.0360,-1.743,0,-0.7070,N/A,N/A,100,100
II.ABKT,2008129_2010352,0.986,-0.0319,-2.201,0,-2.1691,N/A,N/A,100,100
II.ABKT,2008129_2011080,0.963,-0.0345,-0.733,0,-0.6985,N/A,N/A,100,100
II.ABKT,2008129_2011148,0.971,-0.0375,-0.818,0,-0.7805,N/A,N/A,100,100
II.ABKT,2008152_2011122,0.991,-0.0397,-0.609,0,-0.5693,N/A,N/A,100,100
II.ABKT,2008218_2012331,0.953,-1.0345,-3.016,0,-1.9816,N/A,N/A,100,100
II.ABKT,2010272_2012232,0.989,-0.9973,0.278,0,1.2753,N/A,N/A,100,100
II.ALE,1997264_2008231,0.984,0.1464,-1.948,0,-2.0944,N/A,N/A,10,100
II.ALE,1997264_2017126,0.950,0.1527,-1.505,0,-1.6577,N/A,100,10,100
II.ALE,1999207_2012060,0.974,1.0722,-1.796,0,-2.8682,N/A,N/A,100,10
II.ALE,2002101_2011354,0.968,0.2005,-4.323,0,-4.5235,N/A,N/A,100,10
II.ALE,2004233_2012058,0.952,1.0585,-0.838,0,-1.8965,N/A,N/A,100,10
II.ALE,2008129_2011080,0.930,0.0355,-0.664,0,-0.6995,N/A,N/A,100,10
II.ALE,2008152_2011354,0.971,0.1996,-2.673,0,-2.8726,N/A,N/A,100,10
II.ALE,2011080_2011148,0.969,-0.0363,-0.115,0,-0.0787,N/A,N/A,10,100
II.ALE,2011122_2011354,0.947,0.1964,-2.100,0,-2.2964,N/A,N/A,100,10
II.ALE,2012023_2015135,0.970,-0.5983,2.870,0,3.4683,N/A,99.5909,10,80
II.ALE,2012141_2015162,0.991,-2.0814,-2.131,0,-0.0496,N/A,99.5843,10,80
II.ARU,1994217_2008176,0.987,0.0345,0.950,0.025,0.8905,N/A,N/A,100,100
II.ARU,1994217_2011170,0.981,0.0339,0.126,0.025,0.0671,N/A,N/A,100,100
II.ARU,1996088_2009194,0.978,-0.5613,-1.297,0.025,-0.7607,N/A,N/A,90,100
II.ARU,1996163_2000168,0.970,-0.0547,0.028,0.025,0.0577,N/A,N/A,90,100
II.ARU,1996276_2010227,0.923,-0.0368,-2.554,0.025,-2.5422,N/A,N/A,100,100
II.ARU,1997267_2004133,0.949,-0.0302,1.574,0.025,1.5792,N/A,N/A,100,100
II.ARU,1997267_2007006,0.955,-0.0310,-1.921,0.025,-1.9150,N/A,N/A,100,100
II.ARU,1997320_2012172,0.981,-0.0339,-2.747,0.025,-2.7381,N/A,N/A,10,100
II.ARU,2000081_2008173,0.921,0.0369,-2.560,0,-2.5969,N/A,N/A,100,100
II.ARU,2000104_2012245,0.947,0.0546,-1.855,0,-1.9096,N/A,N/A,100,100
II.ARU,2000216_2010271,0.937,0.0399,1.568,0,1.5281,N/A,N/A,100,100
II.ARU,2000216_2016123,0.977,0.0491,0.896,-0.038,0.8849,N/A,100,100,100
II.ARU,2002275_2013284,0.969,0.0313,-2.264,-0.038,-2.2573,N/A,N/A,100,100
II.ARU,2003242_2015255,0.981,0.0339,-1.763,-0.038,-1.7589,N/A,99.7091,100,80
II.ARU,2005037_2012331,0.973,0.1257,-2.165,0,-2.2907,N/A,N/A,100,100
II.ARU,2006214_2013119,0.957,0.0519,-0.555,-0.038,-0.5689,N/A,N/A,100,100
II.ARU,2007330_2014168,0.923,0.0763,-0.124,-0.038,-0.1623,N/A,N/A,100,100
II.ARU,2008006_2013234,0.983,0.0489,-4.159,-0.038,-4.1699,N/A,N/A,100,100
II.ARU,2008218_2012331,0.974,0.1272,-1.859,0,-1.9862,N/A,N/A,100,100
II.ARU,2010271_2016123,0.960,0.0306,-0.670,-0.038,-0.6626,N/A,100,100,100
II.ARU,2012331_2015163,0.970,-0.1242,-0.386,-0.038,-0.2238,N/A,99.5085,100,80
II.BFO,1997098_2014171,0.932,0.0323,1.642,0,1.6097,N/A,N/A,100,100
II.BRVK,1997320_2012172,0.912,0.2803,-2.471,-0.014,-2.7373,N/A,N/A,10,100
II.BRVK,1997327_2000156,0.971,0.2925,0.229,0.025,-0.0885,N/A,N/A,10,100
II.BRVK,1998102_2005287,0.907,0.0339,-1.546,-0.004,-1.5759,N/A,N/A,90,100
II.BRVK,1998263_2015188,0.962,-0.0448,4.810,-0.013,4.8678,N/A,99.8676,100,80
II.BRVK,2000029_2014195,0.972,-0.0497,-0.096,-0.039,-0.0073,N/A,N/A,100,100
II.BRVK,2000286_2011315,0.969,-0.0379,1.516,-0.039,1.5929,N/A,N/A,100,100
II.BRVK,2000329_2012169,0.908,0.0384,2.478,-0.039,2.4786,N/A,N/A,100,100
II.BRVK,2001064_2006203,0.951,0.0417,1.174,-0.03,1.1623,N/A,N/A,100,100
II.BRVK,2001064_2006321,0.985,0.0520,1.475,-0.03,1.4530,N/A,N/A,100,100
II.BRVK,2001064_2015132,0.974,0.0575,1.925,-0.039,1.9065,N/A,99.7292,100,80
II.BRVK,2001190_2005323,0.932,0.0474,-4.040,-0.03,-4.0574,N/A,N/A,100,100
II.BRVK,2002048_2007199,0.952,0.0339,-0.899,-0.03,-0.9029,N/A,N/A,100,100
II.BRVK,2005037_2008218,0.972,-2.1774,-2.483,-0.001,-0.3046,N/A,N/A,100,100
II.BRVK,2005037_2012331,0.975,-2.1874,-4.517,-0.039,-2.2906,N/A,N/A,100,100
II.BRVK,2005037_2015163,0.966,-2.1829,-4.738,-0.039,-2.5161,N/A,99.9324,100,80
II.BRVK,2006214_2013119,0.959,0.0306,-0.547,-0.009,-0.5686,N/A,N/A,100,100
II.BRVK,2007330_2014168,0.988,0.0696,-0.127,-0.037,-0.1596,N/A,N/A,100,100
II.BRVK,2008006_2013234,0.989,0.0493,-4.158,-0.037,-4.1703,N/A,N/A,100,100
II.COCO,2002048_2007199,0.965,-0.0579,-0.980,0,-0.9221,N/A,N/A,100,100
II.COCO,2005044_2006259,0.927,-0.0455,-0.472,0,-0.4265,N/A,N/A,100,100
II.COCO,2006247_2008006,0.909,-0.0322,-2.915,0,-2.8829,N/A,N/A,100,100
