# Table S1. Information of the strong repeating earthquakes used in this study,,,,,,,,,,
# Pair ID,aRelative relocation,,,,Information of the repeating events,,,,,,Horizontal seperation (m),Azimuth (°) ,bVertical seperationb (m),cOrigin time correction (s),Date ,Time,Latitude (°),Longitude (°),Depth (km),Magnitude
1995005_2009174,79,273,-269,1.7577 ,1995/01/05,12:07:36.750,39.209,143.510,29.5,5.2
,,,,,2009/06/23,07:24:13.380,39.203,143.463,28.0,5.1
1995009_2017173,374,313,101,-1.0112 ,1995/01/09,18:54:20.650,46.165,152.233,28.7,5.2
,,,,,2017/06/22,22:36:19.480,46.205,152.266,9.6,5.0
1995020_2010249,272,360,-88,1.3274 ,1995/01/20,00:55:22.160,-10.990,162.145,26.5,5.8
,,,,,2010/09/06,13:46:26.410,-10.965,162.173,25.5,5.7
1995096_2014277,474,311,-327,4.4645 ,1995/04/06,20:47:48.970,10.927,125.971,38.4,5.4
,,,,,2014/10/04,17:38:42.340,10.921,125.961,63.7,5.2
1995106_1999026,89,149,-51,-0.6721 ,1995/04/16,20:36:09.020,-21.017,-174.386,31.5,5.2
,,,,,1999/01/26,07:04:20.900,-21.100,-174.486,33.0,5.2
1995106_2003185,424,277,281,-0.7007 ,1995/04/16,20:36:09.020,-21.017,-174.386,31.5,5.2
,,,,,2003/07/04,01:15:56.550,-20.962,-174.541,33.0,5.3
1995111_1995145,13,318,-104,0.7889 ,1995/04/21,03:05:31.490,12.122,125.668,25.0,5.1
,,,,,1995/05/25,01:31:11.120,12.122,125.670,30.0,5.0
1995114_2003075,492,314,41,-0.5640 ,1995/04/24,06:08:08.540,12.226,125.840,30.3,5.5
,,,,,2003/03/16,09:00:27.050,12.181,125.826,30.4,5.4
1995180_2011109,226,289,99,-2.0933 ,1995/06/29,01:27:02.890,-33.912,-72.319,41.1,5.1
,,,,,2011/04/19,05:50:45.370,-33.846,-72.151,13.1,5.1
1995201_2007344,344,168,-24,2.6323 ,1995/07/20,11:13:37.960,0.522,-80.091,33.0,5.0
,,,,,2007/12/10,18:19:07.370,0.589,-80.007,38.9,5.1
1995230_2007044,117,157,-399,1.9099 ,1995/08/18,20:17:25.300,-6.609,154.680,33.0,5.4
,,,,,2007/02/13,10:56:58.380,-6.655,154.655,33.0,5.4
1995318_2003183,251,272,-499,1.9695 ,1995/11/14,06:32:55.750,-3.682,101.924,57.0,5.1
,,,,,2003/07/02,00:47:11.860,-3.643,102.060,75.2,5.1
1996065_2005249,65,197,40,1.4068 ,1996/03/05,17:32:10.180,24.033,122.241,33.0,5.9
,,,,,2005/09/06,01:16:02.350,24.084,122.191,32.0,5.8
1996088_2009194,70,170,-139,0.7795 ,1996/03/28,17:53:22.400,24.338,122.143,38.9,5.0
,,,,,2009/07/13,20:28:54.920,24.093,122.116,37.2,5.0
1996123_2008070,320,197,-50,3.7651 ,1996/05/02,05:45:12.640,31.793,131.629,38.4,5.2
,,,,,2008/03/10,01:44:33.130,31.793,131.462,53.8,5.1
1996162_1996206,100,344,-312,2.6088 ,1996/06/10,06:11:49.130,51.580,-177.035,33.0,5.0
,,,,,1996/07/24,23:53:22.420,51.701,-177.124,54.6,5.1
1996162_2016166,227,319,-136,4.0249 ,1996/06/10,06:11:49.130,51.580,-177.035,33.0,5.0
,,,,,2016/06/14,17:13:27.520,51.628,-177.053,54.2,5.1
1996163_2000168,369,190,-242,-0.0125 ,1996/06/11,16:38:36.710,51.486,-178.321,33.0,5.2
,,,,,2000/06/16,23:33:49.980,51.433,-178.346,33.0,5.0
1996177_2002101,152,141,-105,-1.0445 ,1996/06/25,21:37:02.680,39.971,142.839,44.9,5.0
,,,,,2002/04/11,12:04:13.480,39.987,142.813,35.9,5.3
1996177_2008152,196,125,-153,0.6132 ,1996/06/25,21:37:02.680,39.971,142.839,44.9,5.0
,,,,,2008/05/31,14:28:35.100,39.983,142.604,33.5,5.0
